,repeat0_p0,repeat1_p0,repeat2_p0,repeat3_p0,repeat4_p0,repeat5_p0,repeat6_p0,repeat7_p0,repeat8_p0,repeat9_p0,target
0,15.74771981201225,16.18195224825405,15.908397558033705,16.100484461865328,15.958405342434489,16.160022989277206,16.313597763829467,15.617733152391345,16.025460447549307,15.59830133704682,21.0
1,15.956750155820286,17.34326728447079,17.59511972859256,16.208609451075766,17.228007156464518,18.232127104125063,16.67428100608979,16.377119993183022,17.33289482463288,16.92170996488619,7.0
2,14.77808419599671,13.976792612009937,14.633572634988871,14.164656981486015,13.22814251106664,14.642387718713556,14.224807919915248,14.473421523865724,15.849003539281544,14.854189552950025,22.0
3,16.0671844713781,16.562485638783606,16.745608092250713,16.550771314964233,16.849539928208873,17.875920013242386,16.58924961815002,17.041322119131756,15.807212637054457,16.21565834752017,21.0
4,15.71159713200353,16.237326274258457,17.11921737395935,15.523296943787606,16.195242183819584,15.789065839067604,18.854688870811646,16.872323353812234,17.73061064916947,15.635913576181121,16.0
5,20.90426148494077,21.656599248645023,21.01256724810085,21.123980336666598,19.541393639464108,19.24504369803332,20.429172506657462,21.585140984161107,18.543566489647628,21.027045830147507,21.0
6,18.312162013665223,18.54025840214449,19.394624680656804,18.689417881476338,18.486046069262905,18.632609542546092,19.986735315818176,19.038211502831302,18.946541684596518,19.509714892418415,11.0
7,15.378791287967298,15.640588711006572,16.352385437814792,15.432373430848976,16.230116614622176,16.19699910099994,14.601031604618413,15.681892947078381,14.710896800972227,15.601231721126974,16.0
8,17.14625472722835,16.123826867116236,17.5627563703739,19.274109790036153,17.894333358568225,17.277720208492113,15.32509887726755,17.886904132909343,17.88399831873655,17.054980711110336,21.0
9,17.153847619006463,16.095233409728035,17.671097067452983,17.16519927877855,16.653461640389196,16.569203250168577,16.663111187291918,16.900897894043723,17.64863687148339,15.978640207186295,9.0
10,16.547964175083756,16.286263548489092,16.47007179952053,16.260520319430256,15.8417808160939,16.097283615895492,16.180678205956035,15.78070067674826,16.072262877804057,16.53449541734733,12.0
11,14.390224777800109,15.116779727350227,15.28744505015514,15.77756260628738,15.465222121734442,14.628780531173282,16.037138479458477,16.12111222936096,14.40940406815405,16.408907022066938,24.0
12,18.458055086100448,19.57599796466526,19.50952185827485,19.528488124537972,19.34555244908458,20.627005676452416,20.13119215168556,19.4272321980723,19.541044804013495,20.63812125636241,12.0
13,13.865682743454906,14.157405948024238,14.368371355910206,14.291765816416431,14.319357879143517,14.683862387884526,14.358435029183479,14.578013120222199,14.380735609084635,14.825624177897872,9.0
14,17.977667284351668,16.585135694353582,18.76914511980599,19.915651375254136,21.377945366705106,17.306382321615533,18.333887795445968,20.159594606704594,17.290727063397362,18.68620885527568,11.0
15,15.958272243495664,14.303552983898781,15.35716766219936,13.62108821450845,16.116565028499117,15.242816972297515,15.183818247297161,16.068013617341443,12.868744804292875,14.977642328911333,23.0
16,11.777245153478724,9.849223168621132,10.081060668309098,12.72606601065565,11.365309636527124,11.289688280733921,10.87053029805026,10.977271473174678,11.65556004405908,11.26615053163536,8.0
17,15.08947768399861,14.624892137495877,14.495575163048878,14.658194639578955,14.114272899119612,14.390518453310392,15.672949879906458,14.541794756506071,14.640839729162336,14.7161442358099,17.0
18,13.8381793433893,14.486054888872808,13.839949257471826,14.458022408732077,14.319400341398364,14.56083315967268,14.052133371021085,13.78669535305001,14.738490209691271,15.219527203690175,9.0
19,16.881590397572445,16.727853701525337,16.902278051133923,15.58613429101366,15.22737551042392,15.049558999014323,16.61253408703625,16.274689070985964,14.242021807902077,15.01359149068512,15.0
20,17.55003942240729,17.158833992364777,16.738394912630362,17.216821094290285,16.259487599143455,16.08957954946763,16.830642024405687,16.313907838204205,17.682870846115822,16.618159910654548,22.0
21,17.56114894597958,18.090158598078794,18.580258679805393,19.366058877760302,17.47259658484569,19.21145287046838,19.471935805501886,17.81610441875472,17.931435934735884,17.695226864986616,22.0
22,18.376841935994904,18.60788224285273,18.957783925547517,18.43134126930846,18.275213349447046,19.065969864761648,20.13304833597754,18.988776785402457,18.54677634831406,19.206132404954374,20.0
23,17.803453965300978,18.250626730973416,18.404023188825214,18.694592165544968,18.44065923709573,18.82569015854076,17.34730342080527,17.631866996128345,18.050873221568438,17.408840959266083,15.0
24,14.013591065042874,14.239295258220892,14.59332957859501,14.477745622754522,15.357951045619846,14.872988701377007,15.082999935618766,14.725355822311624,15.687852805122462,15.207130773481687,20.0
25,18.06025592880672,17.33482312746559,15.65817129927304,16.808131490706458,15.360890971606421,15.653060761776041,15.692439716400951,16.9254714031999,15.814722849787955,16.181752220406267,7.0
26,18.275617742097513,18.93907494122542,19.04806244517833,19.48980605710061,18.746625860308953,19.434416150047937,19.281658610842893,19.3045107920654,19.931493323412596,19.143311857774044,20.0
