,repeat0_p0,target
0,17.077991483499698,7.0
1,16.76136432164635,11.0
2,14.076743960603658,21.0
3,19.914551001768658,20.0
4,18.24861301772146,20.0
5,21.709143939387012,18.0
6,17.907159107303457,18.0
7,15.426575709540039,21.0
8,16.83095542142793,15.0
9,17.0939342345513,16.0
10,16.90819439179697,10.0
11,15.301107810251557,24.0
12,19.40029527569106,22.0
13,13.40483005930265,23.0
14,20.40542342976202,24.0
15,17.663377114457383,22.0
16,13.22854720304865,18.0
17,15.599042688211506,22.0
18,13.478628728879016,18.0
19,15.736180763126663,17.0
20,13.914118140573287,19.0
21,17.389120076895807,17.0
22,17.743566291307136,11.0
23,19.42882874310409,17.0
24,15.173446084339675,20.0
25,18.34440892539395,16.0
26,19.89908188950392,22.0
27,20.25806452293726,15.0
28,11.110402753316343,18.0
29,19.668108806761417,23.0
30,13.830074077047414,16.0
31,16.78977089992078,23.0
32,18.02509775529949,10.0
33,19.821658271136176,17.0
34,20.52223092956681,19.0
35,18.500636344113147,14.0
36,17.536156869790766,22.0
37,16.994272290156903,12.0
38,18.35195589954171,20.0
39,11.397769172793021,20.0
40,14.582883271192605,11.0
41,14.597554579694702,18.0
42,16.810033099349585,16.0
43,19.722688424104426,19.0
44,13.979878979475686,7.0
45,17.0137572544878,8.0
46,17.569896055078893,23.0
47,18.0813164514942,13.0
48,17.99440179872201,23.0
49,17.041764498832336,21.0
50,17.93406320834746,19.0
51,17.09307059577234,14.0
52,16.159876110135325,20.0
53,16.03646508896783,14.0
54,15.831275442974109,20.0
55,16.02036963849025,11.0
56,16.272896213995956,22.0
57,18.0247131821669,19.0
58,17.955387129252323,12.0
59,19.69118864880459,16.0
60,16.81785705316662,9.0
61,21.95662459610225,21.0
62,15.192511051906049,20.0
63,19.446647110476874,20.0
64,15.942706943064502,24.0
65,14.788670002113456,15.0
66,13.995578071008193,6.0
67,11.231512186170153,10.0
68,16.80271698894851,10.0
69,17.87684335870454,16.0
70,16.163706035497622,13.0
71,17.09423379452015,19.0
72,15.585080938288298,21.0
73,14.834376725015572,23.0
74,18.4107834489461,17.0
75,18.430307753014578,22.0
76,17.47500428268769,7.0
77,19.43983523209386,21.0
78,15.61115531379316,6.0
79,18.15735014269054,16.0
80,14.128764822045765,17.0
81,18.6814857562476,22.0
82,21.108053041883636,16.0
83,19.72104625633552,21.0
84,13.671175416203166,11.0
85,20.21026611891992,22.0
86,15.83345167922122,14.0
