,repeat0_p0,repeat1_p0,repeat2_p0,repeat3_p0,repeat4_p0,repeat5_p0,repeat6_p0,repeat7_p0,repeat8_p0,repeat9_p0,target
0,16.277440321534577,16.3619109836879,16.57384111235939,16.10814089984557,16.653327347446876,16.19730643722537,16.846502739881238,16.308616408700534,17.11890730714279,16.20423037098021,21.0
1,16.535149634511164,16.619964512256104,17.31248917305119,16.485732890080364,16.33464679874772,17.74873004148317,15.912821955911589,15.741019932471916,16.736297310376134,17.111813249562786,7.0
2,14.225719600476971,13.591746982175959,13.667073978201316,12.690111062044995,12.928300599003165,14.37911654049217,15.04708425960861,14.868282813505814,14.697945993307354,14.24060765780585,22.0
3,17.345510941905857,17.65154730928127,17.82764046945749,17.219480484226626,17.149882855451224,18.801704832338405,17.270119481855325,18.034114588514637,18.403595964136137,17.27470292441713,21.0
4,16.28170835826355,17.541132968115512,17.07483776315667,16.632813527061877,17.834380860571954,17.37442941932496,19.138874628920526,17.643874368422868,17.98827145873497,17.32251860925046,16.0
5,21.719181019577206,22.307555520598193,21.69223938804475,21.056832959428856,19.943415195047294,20.34820870090445,20.62173970562754,21.786743063744403,20.503668055241256,21.808373126845375,21.0
6,17.71028451513238,19.04594199843701,19.347513716503414,19.043057265711013,18.73434867602283,18.337754735019512,19.858073004090418,19.64405536950298,18.460668220395412,19.21513763877392,11.0
7,15.262329688116212,15.907447109092603,16.172839745350124,15.710023174468805,15.248792091182894,16.198800890665197,15.381664601620564,15.164520972626713,14.42975605858105,16.00772933383695,16.0
8,16.785042744470022,15.057308937781439,16.936498841528515,19.086929865592676,18.13487553587083,17.212833931045452,14.521860578565605,17.74459488210813,17.042884517185062,16.968818724007015,21.0
9,17.162933235595013,16.438713456606102,17.70070374207765,17.054770325838867,17.503443688732602,16.67540453764127,17.754655426238152,17.330794267709713,17.555839620454645,16.388782894132063,9.0
10,15.750553356568219,16.680512564260077,17.035934430782795,15.946491748149374,16.464884679185896,16.386626412449402,16.0671955481918,16.13380762757029,16.409092684913894,16.46161955277628,12.0
11,14.85092940073261,15.454830405271448,15.469667303628006,15.595495679813892,15.893004809514093,14.72393001504181,15.839827345662444,16.359494825665994,14.948335834267258,16.907608149457737,24.0
12,18.00647562476332,19.97898787196947,19.50185611547219,20.204160082705215,19.56147697057967,20.496014141120803,20.18100307366055,20.171925850535274,19.820289976458493,19.74485500030233,12.0
13,13.958979029889537,13.846331279139827,14.735613565855457,14.413060406140549,14.086893694032256,14.504704425672227,14.286226035285804,14.48640632739323,14.3548536052544,14.26010389356373,9.0
14,18.759127058511265,17.81623403518425,19.45065889483888,19.888172057299364,20.692139705143298,19.170806295737165,19.49072486397317,20.295127484408077,18.802945258465282,19.843803520293456,11.0
