,repeat0_p0,repeat1_p0,repeat2_p0,repeat3_p0,repeat4_p0,repeat5_p0,repeat6_p0,repeat7_p0,repeat8_p0,repeat9_p0,target
0,16.468252779893312,16.879246172181997,16.813201642819642,17.129795822248344,16.948106671400517,16.58096366005598,17.19282438623965,16.842479454083545,17.781605451987048,16.67944175268315,21.0
1,16.99444506425208,16.10909586640109,17.394248272418885,16.500745947372337,16.886927841737204,17.62353921246212,16.779205464187093,15.237268546320383,17.308247391587813,16.53364460299848,7.0
2,14.59701293552715,13.700805470395926,13.426613425565453,12.814161576449155,13.058255604941028,14.664268094132662,16.419047508290767,16.822319644579245,15.527991693815354,14.7622729213475,22.0
3,18.58301333919294,18.551809949356105,19.276036539748453,20.189567660133378,19.585472484269346,20.5568377168198,19.27808755228617,19.992011780827838,20.07001006562742,19.04650362024015,21.0
4,17.3098906478523,18.397892456153535,17.758957837509353,17.317278394072083,18.841361862340328,18.591214829081686,19.369727702405182,17.98757376794904,18.356014822345468,17.94255487635389,16.0
5,22.770783599509233,22.205583411323893,21.59511120146758,21.7324701081684,20.304687807663726,20.712335426203328,21.3348320611385,22.00186103027576,21.5622252708104,22.652457649074847,21.0
6,17.42323991572981,18.2759463700111,18.652514559536513,17.760937315829445,17.43772247979249,17.1415175037844,18.312316408541633,18.89770873305181,18.192690784027914,18.790131067785126,11.0
7,15.636866887113513,16.4647135996855,15.831497269372552,16.71866705813334,14.833103158009845,16.082295962552323,15.95245773218195,15.94365929593772,15.529757345130673,16.45608615403173,16.0
8,17.073202572702634,14.832282901577868,16.96170103232731,17.96634277166264,17.658474444811404,17.89276970826075,14.272560701951999,16.860732352932978,18.48049484550386,16.570066019656657,21.0
9,17.825563611208565,16.210656771340926,17.66939126644736,17.71110259939924,18.06022151692172,17.45975765145925,18.222344877880218,18.232994352427795,18.15933148865806,17.069221404179544,9.0
10,15.56657108263312,16.677706402965217,16.61328162989659,17.063143011532773,16.056625968393995,16.263143455465254,16.179869436131824,15.59318997236123,16.8050525083937,17.367904996419746,12.0
11,14.717707541191524,15.420199673992988,14.937811338949583,15.604902604434185,15.44759532408538,15.227473588627241,16.009629611178696,15.76193434324313,14.587935593983442,15.730335377774818,24.0
12,17.690171378481963,20.3026514380621,19.463928249864054,20.689993551134954,18.83079083252374,19.798701904041025,20.479003609580158,19.10128687030933,19.932699387378616,19.695598762363435,12.0
13,13.618783935297628,13.009534378300463,13.712717522772968,14.474445556595235,13.40208164202544,13.767900223981085,14.00278287736733,14.428482013184018,13.602911971368231,13.09693420281413,9.0
14,19.83725044749321,19.05019436731586,19.611593143283788,21.151018904494762,20.851811399799466,19.80175957387239,20.136152224040444,20.76808394062884,19.625740304599134,21.071828603293877,11.0
15,17.842342829182826,16.894087012509463,16.800226842675993,16.01038998469805,18.363130904437508,16.31532816326823,18.309266342130357,17.471655919225135,16.19669363349574,16.963071998241464,23.0
16,13.868091899175697,12.04690498060135,12.574980922770102,16.04897552851949,13.97418123681628,12.155331675534226,12.682940943913668,14.361909122695186,15.006984347063439,13.679322112473194,8.0
17,15.693607910371766,15.786898980885278,15.173411157313199,15.644703828823701,14.960068504544548,14.430064504560272,16.704907209537435,15.231758429694837,14.880096727086801,16.312120874217328,17.0
18,13.393863126865046,13.823359447371015,13.27205054629754,14.495965411997357,14.53165515187965,14.010938201742672,13.347270596142756,13.256118205186398,13.816350634005587,13.54774415742752,9.0
19,16.872185563522486,16.564023593388505,16.31614186255439,15.624882380835587,14.455187173020656,14.924138118450061,15.926714401087645,17.009714264344815,14.545746731219456,15.254362691680095,15.0
20,15.62702769540032,14.667500726192777,14.363992406699081,15.448445143599052,14.371070940448156,13.87087107027936,14.713991361192214,14.932918368688146,15.389747258443592,14.108745633388518,22.0
